timestamp,acc_x,acc_y,acc_z
1523256462504,3.1836896,-1.8309658,-1.8459295
1523256462533,5.1583076,-1.0516531,-2.2176294
1523256462565,5.5922565,-3.3985693,-3.145981
1523256462630,4.64535,-2.4522612,-3.5757403
1523256462636,1.3000516,-2.5965118,-3.9677908
1523256462672,6.9689226,-19.6133,-0.7649474
1523256462690,4.03004,-19.6133,-3.0202854
1523256462703,3.2130187,-8.661623,-3.12982
1523256462722,-0.8655039,-5.876568,-0.45250413
1523256462736,-1.9009962,-12.093113,-0.3369839
1523256462760,0.90620536,-14.6998,-0.41240123
1523256462788,3.6134489,-11.608287,-0.46507367
1523256462817,2.255338,-8.3821,-0.4357447
1523256462836,1.407192,-7.3986816,-0.044891283
1523256462856,1.412579,-6.9000893,-0.1316811
1523256462882,2.48578,-6.749853,-0.46806642
1523256462904,2.9945478,-6.851008,-0.1921347
1523256462933,1.6382325,-6.0172276,-0.40402153
1523256462956,2.0620062,-6.4164605,0.21787235
1523256462993,2.4953568,-7.5267715,0.29269117
1523256463016,3.4763808,-9.80665,-0.62009823
1523256463028,4.276643,-10.705673,-0.9504981
1523256463057,4.216788,-11.510124,-1.2557588
1523256463095,4.2796354,-12.640188,-2.2062569
1523256463113,2.9801826,-14.334085,-3.3877954
1523256463138,2.8365304,-15.195399,0.5859809
1523256463152,0.9756372,-15.075091,-0.3788824
1523256463191,-1.7968484,-15.507244,-2.5821466
1523256463224,-3.168726,-15.320497,-4.179079
1523256463249,3.3441012,-13.36204,0.9307459
1523256463273,3.0621839,-13.182474,-2.9813797
1523256463286,3.117849,-11.982381,-2.7263973
1523256463301,2.2056582,-10.824784,-2.8060043
1523256463310,0.05686229,-7.7201033,0.18136078
1523256463325,0.8972271,-7.303512,0.023942016
1523256463345,1.3281834,-5.8424506,-1.8028339
1523256463357,2.5659857,-4.091092,-0.035913024
1523256463458,3.05141,-2.0679917,-1.7525556
1523256463475,1.483208,-0.830788,-2.4079683
1523256463507,2.4821887,-1.3389573,-2.582745
1523256463537,5.34326,-3.7235823,-3.1531637
1523256463560,6.0405707,-3.3836055,-3.3572693
1523256463576,4.124611,-2.9562407,-2.5462334
1523256463643,2.3493104,-3.9707835,-5.468955
1523256463660,6.132149,-12.727576,-3.888782
1523256463684,5.2504845,-19.6133,-2.8167782
1523256463691,5.006874,-7.8248496,-2.767697
1523256463698,-1.2743138,-4.723161,-0.6919243
1523256463707,-2.4498668,-12.227787,-0.24600422
1523256463714,1.5113398,-15.482704,0.54527944
1523256463721,5.0014873,-11.932103,0.32800564
1523256463726,3.9085343,-8.024167,-0.1448492
1523256463738,1.721431,-7.769783,-0.47884035
1523256463768,1.2270284,-7.849989,-0.5967548
1523256463792,1.7340006,-7.390302,-0.80804306
1523256463808,1.875857,-6.880337,-0.64823014
1523256463835,1.5143325,-6.0064535,0.11971009
1523256463862,1.8339585,-6.7444663,0.16998832
1523256463877,2.1134815,-7.9744873,0.050278235
1523256463904,2.8323407,-9.390059,-1.1312603
1523256463932,4.815338,-10.5045595,-1.3928268
1523256463947,5.0403934,-11.25215,-1.364695
1523256463974,4.5124717,-12.729372,-2.9233203
1523256464003,2.5594015,-13.096283,-0.8774749
1523256464018,1.7651252,-13.785214,-0.5650316
1523256464035,0.28191724,-15.070901,-2.878429
1523256464065,-1.5939398,-15.416863,-4.6806645
1523256464087,-1.353921,-14.194623,-2.7629087
1523256464114,2.7808652,-13.27944,1.2617443
1523256464141,2.111686,-13.261483,-2.8281507
1523256464168,0.6440403,-12.761095,-3.7780502
1523256464196,-1.6681601,-10.337564,-2.4049757
1523256464214,-1.8064252,-7.9756846,2.6874914
1523256464247,0.7835025,-7.796119,0.641646
1523256464284,1.3838485,-5.3384714,-0.7152678
1523256464290,1.757344,-4.4280763,0.374094
1523256464317,2.369661,-3.6709096,-1.3323733
1523256464344,0.9528923,-2.2278047,-2.5025394
1523256464379,2.7204118,-1.2695254,-3.2998085
1523256464425,6.482301,-3.2902317,-3.229778
1523256464478,6.7761893,-2.9640217,-2.7539306
1523256464482,4.894945,-1.7304093,-3.8630445
1523256464526,4.9063177,-19.6133,1.1779473
1523256464529,8.683769,-15.031996,-3.5817258
