timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523292630566,-0.09090549,-0.17681599,-0.93944454
1523292630626,-0.051610112,0.031131268,-1.9934659
1523292630631,0.070846856,0.54644895,-2.3410816
1523292630638,0.09037322,0.8812659,-2.2177744
1523292630689,0.15504318,0.6500554,-1.7238622
1523292630695,0.22862044,0.56778264,-0.7678251
1523292630701,0.35215822,0.55499196,0.15686989
1523292630749,0.49502638,0.53333163,0.2738905
1523292630756,0.4507761,0.80545735,0.5456171
1523292630807,0.18148142,0.33713388,0.8437166
1523292630813,0.18973505,-0.58792615,1.4976492
1523292630882,0.27316654,-0.13915634,1.9903355
1523292630890,-0.9428612,1.257946,0.9824171
1523292630896,-0.9320837,0.01286602,0.95273685
1523292630941,-1.0780201,-0.31081915,1.6157951
1523292630945,-0.90041155,-0.060884714,0.79059315
1523292630992,-0.44554663,0.29302573,-0.15244961
1523292630996,-0.20679379,0.2225728,-0.36553955
1523292631044,0.20399095,-0.6867938,0.46699238
1523292631048,0.18642123,-0.77458656,1.1238537
1523292631057,0.15547256,-0.47608256,0.4968624
1523292631114,0.050274335,-0.1012671,-1.3549404
1523292631131,-0.025053993,0.3632717,-2.7711568
1523292631182,-0.12933019,0.66905904,-2.8215985
1523292631186,-0.1609595,0.70997715,-1.9345822
1523292631194,0.0735693,0.66018414,-1.034647
1523292631241,0.17204314,0.6176882,-0.77294827
1523292631247,0.045550585,0.67948675,-0.30184746
1523292631252,0.13901615,0.6860211,0.21823406
1523292631311,0.2526772,0.1821127,1.4392319
1523292631316,0.5177595,-0.5420804,2.1241026
1523292631365,0.5223649,1.0329084,1.5012951
1523292631373,0.37513286,0.92790484,1.3134651
1523292631446,1.1996303,-0.75050914,2.7191954
1523292631451,1.2794341,-1.1772786,3.828538
1523292631460,1.3341835,-0.14905167,1.4289427
1523292631464,1.1498284,0.8231981,-1.2663097
1523292631512,1.0592523,0.5207896,-1.6254106
1523292631516,0.8938753,-0.79673576,0.4252901
1523292631564,0.32040673,-0.8361423,1.421978
1523292631574,-0.072257996,-0.40676355,0.11503124
1523292631617,-0.3195634,0.028268337,-1.5562329
1523292631626,-0.17760536,0.29889035,-2.6055808
1523292631701,-0.010844111,0.4571073,-2.5440693
1523292631705,0.039836228,0.79928637,-2.1209617
1523292631711,0.12979424,0.9490597,-1.6377411
1523292631718,0.3495143,0.405679,-0.7199516
1523292631767,0.6630974,0.19891334,0.4156084
1523292631775,0.58050996,0.80674314,0.8453493
1523292631820,0.26580435,0.9888804,0.45838165
1523292631828,-0.04586494,0.34765267,0.7788458
1523292631837,0.059386432,-0.03474641,1.64217
1523292631885,-0.37415388,1.7102835,1.5266733
1523292631903,-0.59059846,0.346591,1.5855551
1523292631965,-0.5014328,-1.1943749,2.5094433
1523292631974,-0.894314,-0.19538784,1.9256172
1523292631978,-0.90686774,0.39979458,-0.23229885
1523292632021,-0.549527,0.37510514,-1.283001
1523292632027,-0.18703905,-0.56186175,0.2740116
1523292632031,-0.0064365864,-0.94452786,1.099968
1523292632079,-0.008510351,-0.76153064,0.47236538
1523292632089,0.050735027,-0.23883891,-1.1362591
1523292632130,0.065648615,0.16286302,-2.660411
1523292632139,0.04743129,0.26558733,-2.9028168
1523292632214,0.0034451783,0.4938078,-2.2092896
1523292632219,-0.0047715306,0.6908839,-1.5313292
1523292632225,-0.0067129433,0.6602824,-1.0572376
1523292632276,-0.079257876,0.7034774,-0.6236658
1523292632281,-0.4875924,1.0382276,-0.20750332
1523292632288,-0.38218758,1.0534432,0.4631529
1523292632350,-0.08496046,0.35463643,1.6044455
1523292632355,0.03922528,-0.17738128,2.0264254
1523292632361,0.3207464,1.176343,1.6004143
1523292632412,0.54372334,1.2620273,1.0538197
1523292632436,1.2182434,-0.5345874,2.0654974
1523292632496,0.9707736,-1.1071523,3.1253157
1523292632501,0.89545244,-0.48007226,0.9310732
1523292632506,1.2905581,0.6393156,-0.8412342
1523292632618,1.3220718,-0.062948465,-1.085474
